publisher,size,closed,oa
Magnolia Press,120,91,29
United Nations,53,53,0
Amsterdam University Press,32,31,1
Dustri-Verlgag Dr. Karl Feistle,15,15,0
Springer Singapore,338,289,49
American Psychiatric Association Publishing,11,1,10
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),25,6,19
Panorama of Brazilian Law,6,0,6
"Faculty of Philology, Lomonosov Moscow State University",1,0,1
Instituto Politecnico de Viseu,1,0,1
Carl Hanser Verlag GmbH & Co. KG,1,1,0
InTech,102,2,100
"eLife Sciences Publications, Ltd",102,0,102
Pontificia Universidad Catolica de Chile,5,1,4
Cambridge University Press,18,12,6
Bezmialem Vakif University,1,0,1
Now Publishers,11,4,7
Instituto de Investigaciones Filologicas,2,0,2
International Journal Of Advanced Research,28,0,28
GSC Online Press,2,0,2
WTO,120,118,2
Pageant Media US,14,13,1
Boydell and Brewer Limited,19,19,0
Institution of Engineering and Technology (IET),54,33,21
Oxford University Press,165,145,20
American Vacuum Society,31,18,13
Society of Rheology,15,0,15
British Medical Journal Publishing Group,43,0,43
BMJ Publishing Group Ltd,125,21,104
Duke University Press,29,15,14
British Institute of Radiology,24,0,24
British Editorial Society of Bone & Joint Surgery,31,10,21
De Gruyter,62,42,20
"Technical University of Kosice, Faculty of Electrical Engineering and Informatics",1,0,1
FapUNIFESP (SciELO),159,0,159
PERSEE Program,44,26,18
International Academy of Business and Economics,3,2,1
IATED,21,15,6
Operative Dentistry,1,1,0
Universidade Lusofona de Humanidades e Tecnologias,1,0,1
ASTES Journal,14,0,14
Ob-Ugric Institute of Applied Researches and Development,1,0,1
Societe de Reanimation de Langue Francaise,68,54,14
Berghahn Books,14,11,3
Centers for Disease Control and Prevention (CDC),65,0,65
Institute for Public Health of the National Academy of Medical Sciences of Ukraine,1,0,1
Franco Angeli,90,85,5
Edinburgh University Press,21,19,2
The National Research and Development Institute for Textiles and Leather,3,0,3
Liverpool University Press,24,22,2
"Trans Tech Publications, Ltd.",83,63,20
INIST-CNRS,76,1,75
Royal College of Physicians,1,0,1
"John Wiley & Sons, Inc.",77,68,9
Rockefeller University Press,55,0,55
Mark Allen Group,30,28,2
Royal College of Psychiatrists,10,1,9
Rural and Remote Health,2,0,2
WORLD SCIENTIFIC (EUROPE),10,10,0
Society for Neuroscience,62,0,62
Fondo Editorial Remington,1,1,0
Sissa Medialab,106,0,106
"CAD Solutions, LLC",5,0,5
Association for Computing Machinery (ACM),193,69,124
LUMEN Publishing House,2,2,0
American College of Physicians,18,15,3
Equinox Publishing,14,12,2
Association for Research in Vision and Ophthalmology (ARVO),85,0,85
Science Publishing Corporation,13,1,12
Center for Open Science,10,2,8
ASME International,84,42,42
Genetics Society of America,25,0,25
American Society for Cell Biology (ASCB),10,0,10
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",35,0,35
Axia Academic Publishers,2,0,2
University of Food Technologies - Plovdiv,1,0,1
National Speleological Society,3,0,3
International Medical Research and Development Corporation,2,0,2
Pensoft Publishers,397,0,397
The American Association of Immunologists,34,0,34
Wildlife Disease Association,6,4,2
Inter-Research Science Center,33,6,27
International Medical Publisher (Fundacion de Neurociencias),1,0,1
Universidade do Estado de Santa Catarina,13,0,13
Maad Rayan Publishing Company,9,0,9
"Physicians Postgraduate Press, Inc",16,11,5
Korean Society of Hazard Mitigation,3,0,3
Massachusetts Medical Society,115,46,69
MIT Press - Journals,44,13,31
IWA Publishing,40,23,17
Instituto Nacional de Salud Publica,3,0,3
Portland Press Ltd.,41,21,20
Botanical Garden Meise,2,1,1
"American Mathematical
                    Society",34,11,23
VM Media SP. zo.o VM Group SK,15,0,15
Universite de Bordeaux,62,1,61
LIDSEN Publishing Inc,24,0,24
Aspect-Oriented Software Association (AOSA),2,0,2
"Museum National d'Histoire Naturelle, Paris, France",70,40,30
Instituto Politecnico Nacional/Centro de Investigacion en Computacion,2,0,2
PNRPU Publishing House,7,3,4
Dr. Yashwant Research Labs Pvt. Ltd.,1,0,1
Polish Botanical Society,2,0,2
Peter Lang B,12,12,0
Sociedad Espanola de Optica,2,0,2
American Association of Physics Teachers (AAPT),7,2,5
Universitas Ahmad Dahlan,8,1,7
Indian Society for Education and Environment,4,0,4
The Oil and Gas Institute - National Research Institute,8,1,7
Chamber of Financial Auditors of Romania,2,0,2
International Hellenic University,6,0,6
Bernoulli Society for Mathematical Statistics and Probability,11,1,10
�ditions Quae,2,0,2
Edward Elgar Publishing,12,8,4
Beilstein Institut,48,0,48
ALife Robotics Corporation Ltd.,4,0,4
International Cardiovascular Forum Journal,1,0,1
Institute of Public Finance,6,0,6
Institut National de la Statistique et des Etudes Economiques (INSEE),8,0,8
UNISINOS - Universidade do Vale do Rio Dos Sinos,5,0,5
Shared Science Publishers OG,13,0,13
Institute of Business Management,3,0,3
Manchester University Press,21,5,16
Wiley-VCH Verlag GmbH & Co. KGaA,40,35,5
Canadian Mathematical Society,9,1,8
Open Publishing Association,36,0,36
